genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments,
Pcdhgb6,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgb7,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgc3,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgc4,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgc5,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Gm38182",,Delete,,,
Pcdha1,13,"Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,RENAME,,"Rename to ""Pcdha_all"". Terminal exon is the same for all Pcdha* genes and can't be effectively dissociated with 10x.",
Pcdha11,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha11,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,Note - double Pcdha11 gene,
Pcdha12,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha2,13,"Pcdha1, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha3,13,"Pcdha1, Pcdha2, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha4,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha5,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha6,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha7,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha8,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha9, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdha9,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha11, Pcdha12, Pcdhac1, Pcdhac2",,Delete,,,
Pcdhac1,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac2",,Delete,,,
Pcdhac2,13,"Pcdha1, Pcdha2, Pcdha3, Pcdha4, Pcdha5, Pcdha6, Pcdha7, Pcdha8, Pcdha9, Pcdha11, Pcdha12, Pcdhac1",,Delete,,,
Magi3,11,"Gm42696, 9530097N15Rik, Gm42700, Gm42699, Gm42702, Gm42701, Gm43258, C030032O16Rik, Gm43259, Gm43260, Gm43256",,keep as is,,,
Tspear,10,"Gm10272, Gm10024, Gm10142, Krtap12-1, Gm10100, Gm49918, Krtap10-10, Gm36176, Gm10318, Gm3285",,keep as is,,,
Cdk14,8,"Gm43112, Gm43113, Gm43111, Gm43623, Gm43577, Gm10484, Gm43727, Gm43728",,keep as is,,,
Ugt1a1,8,"Ugt1a10, Ugt1a9, Ugt1a8, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a2",,Delete,,,
Ugt1a10,8,"Ugt1a9, Ugt1a8, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a2, Ugt1a1",,RENAME,,"Rename to ""Ugt1a_all"". Final exon of all Ugt1a* genes is the same whereby 10x cannot dissociate the different transcripts.",
Ugt1a2,8,"Ugt1a10, Ugt1a9, Ugt1a8, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a1",,Delete,,,
Ugt1a5,8,"Ugt1a10, Ugt1a9, Ugt1a8, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a2, Ugt1a1",,Delete,,,
Ugt1a6a,8,"Ugt1a10, Ugt1a9, Ugt1a8, Ugt1a7c, Ugt1a6b, Ugt1a5, Ugt1a2, Ugt1a1",,Delete,,,
Ugt1a6b,8,"Ugt1a10, Ugt1a9, Ugt1a8, Ugt1a7c, Ugt1a6a, Ugt1a5, Ugt1a2, Ugt1a1",,Delete,,,
Ugt1a7c,8,"Ugt1a10, Ugt1a9, Ugt1a8, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a2, Ugt1a1",,Delete,,,
Ugt1a8,8,"Ugt1a10, Ugt1a9, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a2, Ugt1a1",,Delete,,,
Ugt1a9,8,"Ugt1a10, Ugt1a8, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a2, Ugt1a1",,Delete,,,
Frmd4a,7,"Gm10862, Gm38085, Gm13189, Gm37814, Gm37107, Gm38348, Gm36988",,keep as is,,,
Gm37240,7,"Arfip1, Gm42813, Gm45790, Gm42812, Gm15535, Fam160a1, Glt28d2",,premature transcripts deleted,Gm37240-203,,
Gm30211,6,"Igkj1, Igkj2, Igkj3, Igkj4, Igkj5, Igkc",,keep as is,,,
Gm42791,5,"Katnal1, Gm15410, Gm15406, 1810059H22Rik, 5930430L01Rik",,premature transcripts deleted,Gm42791-202,,
Xlr5a,5,"DXBay18, Spin2d, Xlr4c, Xlr3c, Xlr5c",,premature transcripts deleted,Xlr5a-204,,
Gm15406,4,"Gm42791, 1810059H22Rik, 5930430L01Rik, Gm15411",,keep as is,,,
Gm3002,4,"Gm3033, Gm2916, Gm3029, Gm3095",,keep as is,,,
Hoxc5,4,"Hoxc10, Hoxc9, Hoxc8, Hoxc6",,premature transcripts deleted,Hoxc5-202,,
Man1a2,4,"Gm43466, Gm42869, Gm43462, Gm43463",,keep as is,,,
Rap1a,4,"Gm43328, Gm43329, Gm43330, Gm43331",,keep as is,,,
Ccdc106,3,"Zfp865, 4632433K11Rik, Zfp580",,premature transcripts deleted,Ccdc106-207,,
Cx3cr1,3,"Gorasp1, Csrnp1, Xirp1",,readthrough transcripts deleted,Cx3cr1-202,,
Gm12185,3,"Psme2b, 9930111J21Rik1, Tgtp1",,premature transcripts deleted,Gm12185-201,,
Gm28905,3,"Gm48278, Gm48279, 4930598N05Rik",,keep as is,,, 
Gm3383,3,"Gm8265, Gm9603, Gm3373",,keep as is,,,
Gm38393,3,"Snhg14, Snrpn, Snurf",,premature transcripts deleted,"Gm38393-201, Gm38393-202",Not in Refseq and exons overlap with protein coding genes. Could fix with transcript deletion.,
Gm38394,3,"Zc3h11a, Zbed6",,Delete,,Perfect overlap with protein coding gene. Not there in Refseq. Note that Zc3h11a has two gene ids.,
Gm49380,3,"Gm39325, Rnf26, Gm20444",,Delete,,Exon overlaps with protein coding gene. Not present in Refseq,
Gm49885,3,"Trbv8, Trbv9, Trbv10",,Delete,,Exon overlaps with protein coding gene. Not present in Refseq,
Gm7247,3,"Vmn2r88, Vmn2r89, Gm5622",,keep as is,,,
Hoxa3,3,"Hoxa4, Hoxa5, Hoxa6",,keep as is,,,
Lrig2,3,"Gm43696, A530041M06Rik, 4930509H03Rik",,keep as is,,,
Rabgap1l,3,"Gm37529, Gpr52, Gm37328",,keep as is,,,No
Raet1e,3,"H60b, Gm26581, Raet1d",,readthrough transcripts deleted,Raet1e-202,Refseq ok,
Samd4b,3,"Ifnl2, Nccrp1, Pak4",,premature transcripts deleted,Samd4b-201,Refseq ok,
Slc22a14,3,"Slc22a13, Oxsr1, Myd88",,premature transcripts deleted,Slc22a14-204,,
Snx27,3,"Gm43773, Gm43774, Gm43768",,keep as is,,,No
Zbed6,3,"Zc3h11a, Gm38394",,Delete,,"Cannot be disentangled from Zc3h11a, which completely obscures the other gene. Renaming Zc3h11a to Zc3h11a-Zbed6",
Zc3h11a,3,"Gm38394, Zbed6",,RENAME,,"Rename to ""Zc3h11a-Zbed6"" as transcripts otherwise perfectly overlapping.",Premrna great if feasible after renaming
Zc3h11a,3,"Gm38394, Zbed6",,transcripts deleted,Zc3h11a-213,Single Zc3h11a gene transcript ascribed to a distinct gene_id,
1810059H22Rik,2,"Gm42791, Gm15406",,transcripts deleted,1810059H22Rik-204,,
4632433K11Rik,2,"Zfp865, Ccdc106",,Delete,,"Absent in Refseq, overlaps with known gene exon.",
4930511M18Rik,2,"Prr9, Lelp1",,keep as is,,,
4933434E20Rik,2,"Gm16540, 1700094D03Rik",,readthrough transcripts deleted,"4933434E20Rik-211, 4933434E20Rik-212",,
5830405F06Rik,2,"Trbv4, Trbv5",,Delete,,Exons overlap with protein coding genes. Absent in Refseq.,
5930430L01Rik,2,"Gm42791, Gm15406",,keep as is,,,
9930111J21Rik1,2,"Gm12185, Psme2b",,readthrough transcripts deleted,9930111J21Rik1-202,,
a,2,"Raly, Gm14226",,premature transcripts deleted,a-204,,
A330033J07Rik,2,"Gm36346, Gm49291",,keep as is,,,
Adat3,2,"Scamp4, Gm49322",,keep as is,,,
AL731706.1,2,"Mkks, AL731706.2",,Delete,,Exons perfectly overlap with Mkks gene. Deleting and renaming Mkks as Mkks_plus,
AL731706.2,2,"Mkks, AL731706.1",,Delete,,Exons perfectly overlap with Mkks gene. Deleting and renaming Mkks as Mkks_plus,
Aopep,2,"Gm30409, Gm47587",,keep as is,,,
Arhgap4,2,"L1cam, Naa10",,premature transcripts deleted,Arhgap4-209,,
Atp1a1,2,"Gm42937, Gm42941",,keep as is,,,
Bhlhb9,2,"Gprasp1, Gprasp2",,premature transcripts deleted,Bhlhb9-205,Note - contradicts Refseq but the middle exons have nothing mapping to it.,
Bri3,2,"Gm15708, Dmrt1i",,keep as is,,,
Cadps2,2,"Rnf133, Rnf148",,keep as is,,,
Camta1,2,"Per3, Vamp3",,readthrough transcripts deleted,Camta1-211,,
Capza1,2,"Gm42658, Gm42659",,keep as is,,,
Casq2,2,"Gm43244, 4632404M16Rik",,keep as is,,,
Ccdc24,2,"Gm17114, B4galt2",,keep as is,,,
Celf2,2,"Gm10855, Gm10115",,keep as is,,,
Chrm3,2,"Gm47405, Gm47404",,keep as is,,,
Clec9a,2,"Clec1b, Gm43914",,keep as is,,,
Commd10,2,"Hspe1-rs1, Gm49975",,readthrough transcripts deleted,Commd10-204,,
Cox16,2,"Gm4787, Adam4",,keep as is,,,
Cphx3,2,"Cphx2, Duxbl2",,premature transcripts deleted,Cphx3-201,Refseq agrees.,
Dpep2,2,Dpep2nb,,premature transcripts deleted,"Dpep-204, Dpep-206",Note - Dpep2 overlaps with Dpep2nb as well as another Dpep2 with different gene_id,
Drg1,2,"Sfi1, Gm12735",,readthrough transcripts deleted,Drg1-206,,
Epo,2,"Pop7, Gnb2",,premature transcripts deleted,Epo-202,Ok with Refseq. The excess transcripts in premrna do not stem from canonical Epo gene.,
Evi2,2,"Evi2b, Evi2a",,Delete,,"Completely overlaps with Evi2a and Evi2b completely eliminating their reads. Since Refseq just has the two latter genes, will just delete the Evi2 gene.",
Gbp4,2,"Gbp8, Gbp9",,keep as is,,deleting transcripts of overlapping genes,
Gbp8,2,"Gbp9, Gbp4",,premature transcripts deleted,Gbp8-201,Ok with Refseq,
Gbp9,2,"Gbp8, Gbp4",,premature transcripts deleted,Gbp9-202,Ok with Refseq,
Glod4,2,"Vps53, Gemin4",,readthrough transcripts deleted,"Glod4-205, Glod4-206",Ok with Refseq,
Gm1043,2,Jakmip1,,premature transcripts deleted,Gm1043-205,Note - Jakmip1 has several gene ids,
Gm11238,2,"Gm11237, Gm11236",,keep as is,,Has nested genes in it.,
Gm13189,2,"Frmd4a, Gm37814",,keep as is,,,
Gm13662,2,"Itga6, Gm13663",,keep as is,,Overlapping exons with other genes.,
Gm13663,2,"Itga6, Gm13662",,keep as is,,Nested gene.,
Gm14266,2,"Gm14640, 1700007M16Rik",,keep as is,,Contains nested genes,
Gm20444,2,"Gm49380, Rnf26",,keep as is,,Not in Refseq. No counts and small.,
Gm20529,2,"Gmppb, Amigo3",,Delete,,Has overlapping exons with protein coding genes.,
Gm20831,2,"Gm20772, Gm38028",,premature transcripts deleted,Gm20831-201,,
Gm21847,2,"Gm21083, Speer4d",,premature transcripts deleted,Gm21847-201,,
Gm26581,2,"Raet1e, H60b",,keep as is,,,
Gm26861,2,"Gm47407, Gm47408",,keep as is,,Contains nested genes,
Gm28403,2,"Pign, Gm28404",,keep as is,,,
Gm28404,2,"Gm28403, Pign",,keep as is,,Nested gene,
Gm28557,2,"Zfp708, Rslcan18",,Delete,,Overlaps with protein coding gene's exons. Not in Refseq,
Gm29394,2,"9130401M01Rik, Zhx1",,keep as is,,Overlaps with protein coding gene's exons.,
Gm3005,2,"Gm10409, Gm10408",,readthrough transcripts deleted,Gm3005-201,,
Gm3173,2,"Gm3164, Gm3182",,premature transcripts deleted,"Gm3173-202, Gm3173-203",,
Gm3468,2,"Gm8206, Gm3476",,keep as is,,,
Gm37814,2,"Frmd4a, Gm13189",,keep as is,,,
Gm38304,2,"Pigc, 2810442N19Rik",,keep as is,,Exons overlap with protein coding gene exons.,
Gm4258,2,"Gm26930, A430106G13Rik",,keep as is,,Has nested genes in it.,
Gm42742,2,"Pagr1a, Prrt2",,Delete,,Exons overlap with a number of genes in the region,
Gm45194,2,"Tex16, 4933403O08Rik",,keep as is,,Exons overlap with protein coding gene exons. Refseq lacks any records of this gene.,
Gm46392,2,"Gm47510, Gm47511",,keep as is,,Has nested genes in it.,
Gm48617,2,"Gm48616, Meox2",,keep as is,,Overlaps with two genes and is missing in Refseq,
Gm49322,2,"Scamp4, Adat3",,Delete,,Absent in Refseq. Exons overlap with named genes.,
Gm49519,2,"Tmem260, 4930572G02Rik",,Delete,,Exons overlapping with protein coding gene's exons.,
Gm49527,2,"Zfp7, Commd5",,Delete,,Gm gene's exons overlap with protein coding gene's exons.,
Gm49761,2,"Vmn1r231, Vmn1r232",,keep as is,,"Exon overlaps, but not a problem as doesn't cover terminal exons.",
Gm49918,2,"Tspear, Krtap10-10",,readthrough transcripts deleted,Gm49918-202,,
Gm6999,2,"Gm49542, Olfm4",,readthrough transcripts deleted,Gm6999-204,Contains nested genes,
Gm8206,2,"Gm6337, Gm3468",,premature transcripts deleted,Gm8206-202,,
Gprasp1,2,"Armcx5, Bhlhb9",,keep as is,,,
Gramd1b,2,"Gm48129, Gm48127",,keep as is,,Has nested genes in it.,
Grik2,2,"Gm26543, Gm47018",,keep as is,,Has nested genes in it.,
H60b,2,"Raet1e, Gm26581",,premature transcripts deleted,H60b-201,Refseq ok,
Hipk1,2,"Gm43149, Gm43387",,keep as is,,Has nested genes in it.,
Hs2st1,2,"Gm43707, Gm43560",,keep as is,,Has nested genes in it.,
Hs6st3,2,"1700006F04Rik, 4930404K13Rik",,keep as is,,Has nested genes in it.,
Hyal1,2,"Naa80, Hyal3",,readthrough transcripts deleted,"Hyal1-201, Hyal1-202, Hyal1-204, Hyal1-205",,
Hyal3,2,"Hyal1, Naa80",,premature transcripts deleted,Hyal3-202,,
Igsf3,2,"Gm42939, Gm42938",,keep as is,,Has nested genes in it.,
Ikzf2,2,"Gm29112, Gm28112",,keep as is,,Has nested genes in it.,
Itga6,2,"Gm13663, Gm13662",,keep as is,,Has nested genes in it,
Jakmip1,2,Gm1043,,keep as is,,,
Jakmip1,2,Gm1043,,transcripts deleted,Jakmip1-216,Two gene id-s ascribed to a single gene,
Krtap10-10,2,"Tspear, Gm49918",,keep as is,,,
Lbhd1,2,"Gm49403, 1810009A15Rik",,keep as is,,"Refseq doesn't agree, but kicking out the 1810009A15Rik to see any transcript from the named gene.",
Lipo3,2,"Gm8978, Lipo2",,premature transcripts deleted,Lipo3-201,,
Magea2,2,"Magea5, Magea1",,premature transcripts deleted,Magea2-203,,
Mkks,2,"AL731706.1, AL731706.2",,RENAME,,"Exons overlap with two other real genes.  Renaming ""Mkks_plus""",
Mrps6,2,"Slc5a3, Gm16310",,keep as is,,Has a nexted gene in it.,
mt-Atp6,2,"mt-Atp8, mt-Co3",,keep as is,,Weird glitch of a minute overlap,
Myo1b,2,"Gm29453, Gm28323",,keep as is,,Has nested genes in it.,
Naa80,2,"Hyal1, Hyal3",,premature transcripts deleted,"Naa10-202, Naa10-203, Naa10-204, Naa10-205, Naa10-206, Naa10-207",,
Nav2,2,"Gm2788, Gm32849",,premature transcripts deleted,Nav2-210,Contains nested genes.,
Ncald,2,"Gm15941, Gm15940",,keep as is,,Has nested genes in it.,
Ngly1,2,"5430414B19Rik, Gm47798",,keep as is,,Has nested genes in it.,
Pear1,2,"Lrrc71, Ntrk1",,transcripts deleted,"Pear1-201, Pear1-203, Pear1-214",Refseq agrees.,
Pigk,2,"Gm16213, Gm16231",,readthrough transcripts deleted,Pigk-206,,
Pign,2,"Gm28403, Gm28404",,keep as is,,,
Psme2b,2,"Gm12185, 9930111J21Rik1",,keep as is,,,
Ptpn22,2,"Gm15472, Gm43065",,keep as is,,,
Rgl1,2,"Gm15479, Gm28792",,keep as is,,,
Rnf26,2,"Gm49380, Gm20444",,keep as is,,,
Rslcan18,2,"Zfp708, Gm28557",,keep as is,,,
Scamp4,2,"Adat3, Gm49322",,keep as is,,,
Slc16a1,2,"Gm43581, Gm43585",,keep as is,,Has nested genes in it.,
Snhg4,2,Matr3,,readthrough transcripts deleted,"Snhg4-201, Snhg4-202, Snhg4-203, Snhg4-204, Snhg4-205, Snhg4-206, Snhg4-207, Snhg4-208",Two gene id-s ascribed to a single gene,
Snrpn,2,"Gm38393, Snurf",,RENAME,,"Rename to ""Snrpn-Snurf"" as the transcripts of these genes are completely overlapping",
Snurf,2,"Gm38393, Snrpn",,Delete,,"Deleting and renaming the overlapping gene to ""Snrpn-Snurf""",
Sox2ot,2,"Gm34599, Sox2",,keep as is,,Has nested genes in it.,
St6galnac3,2,"1700012D16Rik, 1700015C17Rik",,keep as is,,,
Tmeff2,2,"Gm28322, Gm28320",,keep as is,,Downstream gene fixed.,
Wars2,2,"Gm43024, Gm42717",,keep as is,,,
Zfp708,2,"Gm28557, Rslcan18",,premature transcripts deleted,Zfp708-202,"(note, not recommended by Refseq but otherwise eliminated upstream gene)",
Zfp865,2,"Ccdc106, 4632433K11Rik",,keep as is,,,
Zhx3,2,"Gm27206, Gm16751",,readthrough transcripts deleted,Zhx3-205,,
