genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments
PCDHGB1,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB1-201,
PCDHGB2,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB2-201,
PCDHGB3,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB3-201,
PCDHGB4,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB4-201,
PCDHGB5,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB5-201,
PCDHGB6,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB6-201,
PCDHGB7,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGB7-201,
PCDHGC3,21,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, PCDHGC4, PCDHGC5",,readthrough tr. deleted,"PCDHGC3-201, PCDHGC3-204, PCDHGC3-205, PCDHGC3-207, PCDHGC3-208",
PCDHGC4,21,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, PCDHGC3, PCDHGC5",,readthrough tr. deleted,"PCDHGC4-201, PCDHGC4-204",
PCDHGC5,21,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, PCDHGC3, PCDHGC4",,RENAME,,"Rename to ""PCDHG-ALL"""
AC008781.3,19,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12",,Delete,,Absent in Refseq. Also missing in ENSEMBL for some reason
IGLV10-54,15,"AC245452.5, IGLV10-67, IGLVIV-66-1, IGLVV-66, IGLVIV-65, IGLVIV-64, IGLVI-63, IGLV1-62, IGLV8-61, IGLV4-60, IGLVIV-59, IGLVV-58, IGLV6-57, IGLVI-56, IGLV11-55",,readthrough tr. deleted,IGLV10-54-202,
PCDHA1,14,"PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA1-202, PCDHA1-203",
PCDHA10,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA10-201, PCDHA10-202, PCDHA10-204",
PCDHA11,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA11-201, PCDHA11-203",
PCDHA12,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA12-201, PCDHA12-203",
PCDHA13,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA13-201, PCDHA13-202",
PCDHA2,14,"PCDHA1, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,PCDHA2-203,
PCDHA3,14,"PCDHA1, PCDHA2, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,PCDHA3-201,
PCDHA4,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA4-202, PCDHA4-203",
PCDHA5,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA5-201, PCDHA5-202",
PCDHA6,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,"PCDHA6-202, PCDHA6-203",
PCDHA7,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,PCDHA7-202,
PCDHA8,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,PCDHA8-202,
PCDHA9,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1, PCDHAC2",,readthrough tr. deleted,PCDHA9-202,
PCDHAC1,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC2",,readthrough tr. deleted,PCDHAC1-201,
PCDHAC2,14,"PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHAC1",,RENAME,,"Rename to ""PCDHA-ALL"""
PRH1,12,"TAS2R10, PRR4, TAS2R13, TAS2R14, TAS2R50, TAS2R20, TAS2R19, TAS2R31, TAS2R46, TAS2R43, TAS2R30, AC134349.1",,readthrough tr. deleted,PRH1-203,
AC104389.5,10,"HBG2, HBE1, OR51B4, OR51B5, OR51B2, OR51I1, UBQLN3, UBQLNL, OR52H1, TRIM5",,premature tr. deleted,"AC104389.5-201, AC104389.5-203, AC104389.5-205",No in Refseq though
TAS2R14,9,"PRH1, TAS2R50, TAS2R20, TAS2R19, TAS2R31, TAS2R46, TAS2R43, TAS2R30, AC134349.1",,premature tr. deleted,TAS2R14-201,
TSPEAR,8,"KRTAP10-1, KRTAP10-2, KRTAP10-3, KRTAP10-5, KRTAP10-6, KRTAP12-4, KRTAP12-2, KRTAP12-1",,keep as is,,
UGT1A1,8,"UGT1A8, UGT1A10, UGT1A9, UGT1A7, UGT1A6, UGT1A5, UGT1A4, UGT1A3",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A10,8,"UGT1A8, UGT1A9, UGT1A7, UGT1A6, UGT1A5, UGT1A4, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A3,8,"UGT1A8, UGT1A10, UGT1A9, UGT1A7, UGT1A6, UGT1A5, UGT1A4, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A4,8,"UGT1A8, UGT1A10, UGT1A9, UGT1A7, UGT1A6, UGT1A5, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A5,8,"UGT1A8, UGT1A10, UGT1A9, UGT1A7, UGT1A6, UGT1A4, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A6,8,"UGT1A8, UGT1A10, UGT1A9, UGT1A7, UGT1A5, UGT1A4, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A7,8,"UGT1A8, UGT1A10, UGT1A9, UGT1A6, UGT1A5, UGT1A4, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A8,8,"UGT1A10, UGT1A9, UGT1A7, UGT1A6, UGT1A5, UGT1A4, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
UGT1A9,8,"UGT1A8, UGT1A10, UGT1A7, UGT1A6, UGT1A5, UGT1A4, UGT1A3, UGT1A1",,keep as is,,"Note, the terminal exons all overlap. May have to be changed depending on purpose."
ASIC2,7,"AC003687.1, AC011824.3, AC024614.4, AC024610.2, AC004147.1, AC004147.5, LINC01989",,keep as is,,
CCDC92,7,"DNAH10OS, AC068790.7, AC068790.4, AC068790.3, AC068790.2, AC068790.5, AC068790.6",,keep as is,,
TTN-AS1,7,"AC009948.3, AC009948.2, AC010680.3, AC010680.2, AC010680.4, AC010680.5, AC010680.1",,keep as is,,
AC005726.1,6,"UNC119, PIGS, ALDOC, SPAG5, AC005726.3, RSKR",,Delete,,Overlaps with many exons
HBE1,6,"HBG2, AC104389.5, OR51B4, OR51B5, OR51B2, OR51I1",,keep as is,,
HBG2,6,"AC104389.5, HBE1, OR51B4, OR51B5, OR51B2, OR51I1",,keep as is,,
WWOX,6,"AC079414.3, AC046158.2, AC027279.1, AC027279.2, AC009145.1, AC009145.2",,keep as is,,
ARMCX5-GPRASP2,5,"ARMCX5, GPRASP1, AL035427.2, GPRASP2",,readthrough tr. deleted,"ARMCX5-GPRASP2-207, ARMCX5-GPRASP2-208, ARMCX5-GPRASP2-209, ARMCX5-GPRASP2-211",Exons overlap but present in Refseq so keeping. Removing ARMCX5-GPRASP2-211 transcript as this belongs to an alternate gene_id
BACH1,5,"LINC00189, BACH1-IT1, AP000240.1, BACH1-IT2, BACH1-IT3",,readthrough tr. deleted,BACH1-209,
MIR4435-2HG,5,"ACOXL-AS1, AC108463.3, AC068491.3, AC017002.6, AC017002.1",,keep as is,,
OR51B5,5,"HBG2, AC104389.5, HBE1, OR51B2, OR51I1",,keep as is,,
TRIM5,5,"AC104389.5, OR52N5, OR52N1, OR52E6, OR52E8",,keep as is,,
XKR6,5,"AF131215.3, AF131215.6, AF131215.5, AF131215.4, AF131215.2",,keep as is,,
ABHD15-AS1,4,"TP53I13, AC104564.3, ANKRD13B, AC104564.1",,keep as is,,
AC007563.2,4,"AC007563.1, AC007563.4, LINC01921, AC007557.1",,keep as is,,
AC022558.2,4,"RAMAC, AC024270.4, AC022558.3, AC024270.2",,keep as is,,
AC117473.1,4,"OR5H6, OR5H2, OR5K4, OR5K3",,keep as is,,
AL359636.2,4,"OR1J2, OR1J4, OR1N2, OR1Q1",,keep as is,,
CACNA1C,4,"AC005342.1, CACNA1C-IT1, CACNA1C-IT2, CACNA1C-IT3",,keep as is,,
DLGAP2,4,"AC100797.5, AC129915.3, AF067845.5, AF067845.4",,keep as is,,
GSE1,4,"AC092275.1, LINC00311, AC133540.1, AC092127.1",,keep as is,,
HOXB3,4,"HOXB4, AC103702.1, HOXB5, HOXB6",,premature tr. deleted,HOXB3-203,
HOXC6,4,"HOXC9, HOXC8, HOXC4, AC012531.1",,premature tr. deleted,HOXC6-204,
KLC1,4,"COA8, AL049840.6, AL049840.4, AL049840.5",,premature tr. deleted,KLC1-223,
KRTAP10-4,4,"KRTAP10-7, KRTAP10-8, KRTAP10-9, KRTAP10-10",,readthrough tr. deleted,KRTAP10-4-203,
OR51B2,4,"HBG2, AC104389.5, HBE1, OR51B5",,keep as is,,
OR51I1,4,"HBG2, AC104389.5, HBE1, OR51B5",,keep as is,,
TAF15,4,"AP2B1, RASL10B, C17orf50, AC015849.4",,premature tr. deleted,TAF15-201,
AATF,3,"AC243773.2, AC244093.4, AC244093.3",,keep as is,,
AC012409.2,3,"AC012409.1, AC012409.4, LINC02157",,keep as is,,
AC012560.1,3,"LINC00595, AC010163.1, AC010163.2",,keep as is,,
AC016831.7,3,"AC016831.1, AC016831.5, LINC-PINT",,Delete,,Absent in Refseq and current version of ENSEMBL
AC017002.6,3,"MIR4435-2HG, AC017002.1, ANAPC1",,Delete,,Absent in Refseq and current version of ENSEMBL
AC022509.2,3,"AC022509.1, AC022509.4, ITPR2",,keep as is,,
AC024270.4,3,"AC022558.2, AC022558.3, AC024270.2",,keep as is,,
AC078778.1,3,"SCAT2, HNRNPA1, COPZ1",,Delete,,Absent in Refseq. Overlaps/obscures many genes.
AC079447.1,3,"C2orf15, LIPT1, MRPL30",,premature tr. deleted,AC079447.1-201,
AC098588.3,3,"GYPA, HHIP-AS1, ANAPC10",,readthrough tr. deleted,AC098588.3-201,
AC099329.2,3,"ACKR2, KRBOX1, ZNF662",,keep as is,,
AC104123.1,3,"MIR583HG, AC099509.2, CAST",,keep as is,,
AC105052.4,3,"RASA4, UPK3BL1, POLR2J2",,readthrough tr. deleted,AC105052.4-201,
AC244517.11,3,"AC244517.2, AC244517.4, AC244517.7",,keep as is,,
ADARB2,3,"AL392083.2, AL392083.1, AL513304.1",,keep as is,,
AL110292.1,3,"LINC02588, LINC02293, MIR4307HG",,premature tr. deleted,AL110292.1-204,
AL590560.2,3,"SNHG28, VSIG8, CFAP45",,readthrough tr. deleted,"AL590560.2-202, AL590560.2-203, AL590560.2-204, AL590560.2-205, AL590560.2-206",
ARMCX5-GPRASP2,3,"GPRASP2, BHLHB9",,readthrough tr. deleted,,Gene has two gene_ids. The issue is fixed at the other entry by deleting the offending gene_id's trancsripts
BICD1,3,"AC048344.4, AC026356.1, AC026356.2",,keep as is,,
BIRC6,3,"AL133243.2, AL133243.3, AL133243.1",,keep as is,,
DPYD,3,"DPYD-IT1, MIR137HG, BX005019.1",,keep as is,,
DRG1,3,"AL096701.3, SFI1, AL096701.4",,readthrough tr. deleted,"DRG1-206, DRG1-207",
EMCN,3,"LINC01216, LINC01217, LINC01218",,premature tr. deleted,EMCN-208,
FBXO16,3,"ZNF395, AC025871.3, AC025871.2",,readthrough tr. deleted,FBXO16-210,
GGT1,3,"SNRPD3, AP000356.1",,premature tr. deleted,"GGT1-228, GGT1-229, GGT1-231",
GNG7,3,"AC092068.2, AC092068.3, AC006538.3",,keep as is,,
HM13,3,"AL110115.1, MCTS2P, HM13-IT1",,transcripts deleted,"HM13-208, HM13-209, HM13-216, HM13-219, HM13-227",
HOOK2,3,"AC018761.3, PRDX2, RTBDN",,premature tr. deleted,"HOOK2-213, HOOK2-224",
HOXA3,3,"HOXA4, HOXA5, HOXA6",,premature tr. deleted,"HOXA3-201, HOXA3-203, HOXA3-204, HOXA3-206",
HOXC4,3,"HOXC6, AC012531.1, HOXC5",,keep as is,,
ITCH,3,"ITCH-IT1, AL109923.1, DYNLRB1",,readthrough tr. deleted,ITCH-212,
JPT1,3,"AC022211.3, AC022211.1, SUMO2",,premature tr. deleted,"JPT1-210, JPT1-212",
KCNJ6,3,"KCNJ6-AS1, DSCR4, DSCR4-IT1",,keep as is,,
KRBOX1,3,"ACKR2, AC099329.2, ZNF662",,premature tr. deleted,KRBOX1-203,
LINC00595,3,"AC012560.1, AC010163.1, AC010163.2",,keep as is,,
LINC02112,3,"AC026787.1, TAS2R1, AC091838.1",,keep as is,,
LINC02226,3,"AC091912.3, AC091965.1, AC091965.4",,keep as is,,
LIPC,3,"AC084781.1, AC084781.2, AC018904.2",,keep as is,,
LMF1,3,"AL008727.1, AC009041.4, AC009041.2",,keep as is,,
LRMDA,3,"AL589863.2, AL589863.1, AL731568.1",,keep as is,,
LUCAT1,3,"AC074132.1, AC093281.2, AC123595.1",,keep as is,,
MARK4,3,"GEMIN7, PPP1R37, BLOC1S3",,premature tr. deleted,MARK4-203,
MLIP,3,"AL033384.1, MLIP-IT1, AL359380.1",,premature tr. deleted,MLIP-208,
MMP26,3,"OR51F2, OR51T1, OR51A7",,keep as is,,
MYO1D,3,"AC079336.2, AC079336.1, AC079336.3",,keep as is,,
MYOSLID,3,"AC007879.1, AC007879.5, AC007879.2",,premature tr. deleted,MYOSLID-205,
NRG1,3,"NRG1-IT1, NRG1-IT3, AC083977.1",,keep as is,,
OR51B4,3,"HBG2, AC104389.5, HBE1",,keep as is,,
OXNAD1,3,"AC090948.1, AC090948.2, AC090948.3",,keep as is,,
PAK6,3,"BUB1B, AC020658.4, AC020658.3",,premature tr. deleted,"PAK6-202, PAK6-203, PAK6-211",
PARVB,3,"SAMM50, AL033543.1, AL031595.3",,premature tr. deleted,PARVB-204,
PCAT1,3,"PRNCR1, POU5F1B, CCAT2",,readthrough tr. deleted,"PCAT1-220, PCAT1-227",
PDZD2,3,"AC022447.2, AC022447.5, AC022447.6",,keep as is,,
PTPRM,3,"AP000897.1, AC006566.1, AP001094.2",,keep as is,,
RBFOX1,3,"AC009135.1, AC006112.1, AC007223.1",,keep as is,,
RFLNA,3,"ZNF664, AC068790.9, AC026358.1",,premature tr. deleted,"RFLNA-203, RFLNA-204",
RNF4,3,"CFAP99, AL645924.1, FAM193A",,transcripts deleted,"RNF4-204, RNF4-210",
SHF,3,"AC051619.6, AC051619.7, AC051619.8",,keep as is,,
SIPA1L3,3,"AC008395.1, AC011479.3, AC011479.2",,keep as is,,
SLC14A2,3,"AC021517.1, AC091151.1, AC023421.1",,keep as is,,
SMUG1,3,"FAM242C, AC023794.6, AC023794.5",,readthrough tr. deleted,"SMUG1-223, SMUG1-224, SMUG1-225",
SNRPN,3,"AC090983.1, SNURF, SNHG14",,RENAME,,"Rename to ""SNRPN-SNURF"" Exons perfectly overlapping"
STARD13,3,"STARD13-IT1, LINC02344, AL138999.1",,keep as is,,
TAB2,3,"AL031056.1, AL031056.2, SUMO4",,premature tr. deleted,TAB2-206,
TMC3-AS1,3,"AC103858.2, AC109809.1, AC060809.1",,keep as is,,
TMEM132D,3,"AC130404.1, AC117373.1, AC055717.1",,keep as is,,
TRPV1,3,"AC027796.5, AC027796.1, SHPK",,premature tr. deleted,TRPV1-207,
UPP2,3,"AC013731.1, AC091488.1, UPP2-IT1",,keep as is,,
ZNF32-AS3,3,"ZNF32-AS1, ZNF32-AS2, AL645634.1",,keep as is,,
ZSCAN5A,3,"AC006116.5, AC006116.6, AC006116.9",,premature tr. deleted,ZSCAN5A-205,
AC002066.1,2,"AC073130.2, AC073130.1",,premature tr. deleted,AC002066.1-201,
AC004593.3,2,"AC005232.1, CHN2",,Delete,,Absent in Refseq and current version of ENSEMBL
AC004917.1,2,"AC005050.1, CCDC71L",,premature tr. deleted,"AC004917.1-201, AC004917.1-204",
AC004943.2,2,"AC004943.3, AC004943.1",,keep as is,,
AC005394.1,2,"AC005381.1, AC079466.2",,keep as is,,
AC005828.3,2,"AC005828.1, AC005828.4",,keep as is,,
AC005906.2,2,"KCNA1, AC006063.2",,premature tr. deleted,"AC005906.2-201, AC005906.2-202, AC005906.2-203, AC005906.2-204",
AC005911.1,2,"RHNO1, TULP3",,keep as is,,
AC006213.2,2,"ZNF404, AC006213.7",,keep as is,,
AC006213.7,2,"ZNF404, AC006213.2",,keep as is,,
AC006305.1,2,"AC006305.2, LINC01539",,keep as is,,nomenclature changed
AC007402.1,2,"AC007402.2, LINC01867",,keep as is,,
AC007557.1,2,"AC007563.2, LINC01921",,keep as is,,Not sure why manual
AC007611.1,2,"AC023813.3, AC023813.4",,keep as is,,
AC007780.1,2,"ARSG, PRKAR1A",,readthrough tr. deleted,AC007780.1-201,
AC007879.1,2,"MYOSLID, AC007879.5",,keep as is,,
